,ticker,companyshortname,startdatetime,startdatetimetype,epsestimate,epsactual,epssurprisepct,timeZoneShortName,gmtOffsetMilliSeconds,quoteType
0,AUMBF,1911 Gold Corp,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
1,ANF,Abercrombie & Fitch Co,2021-05-26T12:30:00.000Z,BMO,-0.38,,,EDT,-14400000,EQUITY
2,AZMCF,Arizona Metals Corp,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
3,BBW,Build-A-Bear Workshop Inc,2021-05-26T12:30:00.000Z,BMO,-0.53,,,EDT,-14400000,EQUITY
4,UHAL,Amerco,2021-05-26T20:00:00.000Z,AMC,5.07,,,EDT,-14400000,EQUITY
5,AEO,American Eagle Outfitters Inc,2021-05-26T20:00:00.000Z,AMC,0.46,,,EDT,-14400000,EQUITY
6,AAMMF,Almadex Minerals Ltd,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
7,REX,REX American Resources Corp,2021-05-26T12:30:00.000Z,BMO,0.01,,,EDT,-14400000,EQUITY
8,ZXAIY,China Zenix Auto International Ltd,2021-05-26T08:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
9,ICLK,iClick Interactive Asia Group Ltd,2021-05-26T12:30:00.000Z,BMO,0.0,,,EDT,-14400000,EQUITY
10,ELF,elf Beauty Inc,2021-05-26T20:00:00.000Z,AMC,0.09,,,EDT,-14400000,EQUITY
11,VTOL,Bristow Group Inc,2021-05-26T20:00:00.000Z,AMC,0.39,,,EDT,-14400000,EQUITY
12,BMO,Bank of Montreal,2021-05-26T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
13,DBI,Designer Brands Inc,2021-05-26T20:00:00.000Z,AMC,-0.18,,,EDT,-14400000,EQUITY
14,CHNG,Change Healthcare Inc,2021-05-26T20:00:00.000Z,AMC,0.36,,,EDT,-14400000,EQUITY
15,MCLDF,mCloud Technologies Corp,2021-05-26T12:30:00.000Z,BMO,,,,EDT,-14400000,EQUITY
16,CMCO,Columbus McKinnon Corp,2021-05-26T12:30:00.000Z,BMO,0.51,,,EDT,-14400000,EQUITY
17,CVCO,Cavco Industries Inc,2021-05-26T20:00:00.000Z,AMC,1.92,,,EDT,-14400000,EQUITY
18,NVDA,NVIDIA Corp,2021-05-26T23:00:00.000Z,AMC,3.28,,,EDT,-14400000,EQUITY
19,DXC,DXC Technology Co,2021-05-26T20:00:00.000Z,AMC,0.7,,,EDT,-14400000,EQUITY
20,NWVCF,Enwave Corp,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
21,VIPRF,Silver Viper Minerals Corp,2021-05-26T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
22,QMCO,Quantum Corp,2021-05-26T20:00:00.000Z,AMC,0.01,,,EDT,-14400000,EQUITY
23,CPRI,Capri Holdings Ltd,2021-05-26T12:30:00.000Z,BMO,0.02,,,EDT,-14400000,EQUITY
24,MOD,Modine Manufacturing Co,2021-05-26T20:00:00.000Z,AMC,0.27,,,EDT,-14400000,EQUITY
25,UVV,Universal Corp,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
26,APPS,Digital Turbine Inc,2021-05-26T20:00:00.000Z,AMC,0.19,,,EDT,-14400000,EQUITY
27,SQIDF,SQI Diagnostics Inc,2021-05-26T10:59:00.000Z,TNS,,,,EDT,-14400000,EQUITY
28,DKS,Dick's Sporting Goods Inc,2021-05-26T12:30:00.000Z,BMO,1.12,,,EDT,-14400000,EQUITY
29,ENS,EnerSys,2021-05-26T20:00:00.000Z,AMC,1.29,1.3,0.78,EDT,-14400000,EQUITY
30,RYB,RYB Education Inc,2021-05-26T20:00:00.000Z,AMC,-0.23,,,EDT,-14400000,EQUITY
31,HLG,Hailiang Education Group Inc,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
32,FOLGF,Falcon Oil & Gas Ltd,2021-05-26T20:00:00.000Z,AMC,,,,EDT,-14400000,EQUITY
33,GOTU,GSX Techedu Inc,2021-05-26T12:30:00.000Z,BMO,-0.38,,,EDT,-14400000,EQUITY
34,NVGS,Navigator Holdings Ltd,2021-05-26T20:00:00.000Z,AMC,0.05,,,EDT,-14400000,EQUITY
35,NXGN,NextGen Healthcare Inc,2021-05-26T20:00:00.000Z,AMC,0.19,,,EDT,-14400000,EQUITY
36,ZUO,Zuora Inc,2021-05-26T20:00:00.000Z,AMC,-0.04,,,EDT,-14400000,EQUITY
37,VEXTF,Vext Science Inc,2021-05-26T08:00:00.000Z,TAS,,,,EDT,-14400000,EQUITY
